year,county_town,HH_num,incm_sum,incm_mean,county,town,incm_med,incm_1st,incm_3rd,incm_std,incm_cv,key,county107,town107
1999,南投縣中寮鄉,3213,1726667,537.40027,南投縣,中寮鄉,,,,,,南投中寮,南投縣,中寮鄉
1999,南投縣仁愛鄉,1268,739676,583.3407,南投縣,仁愛鄉,,,,,,南投仁愛,南投縣,仁愛鄉
1999,南投縣信義鄉,1478,740550,501.04871,南投縣,信義鄉,,,,,,南投信義,南投縣,信義鄉
1999,南投縣南投市,22623,17021518,752.3988,南投縣,南投市,,,,,,南投南投,南投縣,南投市
1999,南投縣名間鄉,6698,3927654,586.39203,南投縣,名間鄉,,,,,,南投名間,南投縣,名間鄉
1999,南投縣國姓鄉,3230,1605864,497.17151,南投縣,國姓鄉,,,,,,南投國姓,南投縣,國姓鄉
1999,南投縣埔里鎮,12851,8097541,630.1098,南投縣,埔里鎮,,,,,,南投埔里,南投縣,埔里鎮
1999,南投縣水里鄉,3589,2111771,588.40094,南投縣,水里鄉,,,,,,南投水里,南投縣,水里鄉
1999,南投縣竹山鎮,8862,5472761,617.55371,南投縣,竹山鎮,,,,,,南投竹山,南投縣,竹山鎮
1999,南投縣草屯鎮,19849,13348412,672.49799,南投縣,草屯鎮,,,,,,南投草屯,南投縣,草屯鎮
1999,南投縣集集鎮,2202,1317299,598.22845,南投縣,集集鎮,,,,,,南投集集,南投縣,集集鎮
1999,南投縣魚池鄉,2591,1422153,548.8819,南投縣,魚池鄉,,,,,,南投魚池,南投縣,魚池鄉
1999,南投縣鹿谷鄉,2485,1446483,582.08569,南投縣,鹿谷鄉,,,,,,南投鹿谷,南投縣,鹿谷鄉
1999,嘉義縣中埔鄉,7032,4075686,579.59131,嘉義縣,中埔鄉,,,,,,嘉義中埔,嘉義縣,中埔鄉
1999,嘉義縣六腳鄉,4533,2639567,582.30023,嘉義縣,六腳鄉,,,,,,嘉義六腳,嘉義縣,六腳鄉
1999,嘉義縣大埔鄉,408,210114,514.98529,嘉義縣,大埔鄉,,,,,,嘉義大埔,嘉義縣,大埔鄉
1999,嘉義縣大林鎮,6413,3836497,598.23749,嘉義縣,大林鎮,,,,,,嘉義大林,嘉義縣,大林鎮
1999,嘉義縣太保市,5464,3351181,613.32007,嘉義縣,太保市,,,,,,嘉義太保,嘉義縣,太保市
1999,嘉義縣布袋鎮,5322,3024879,568.37262,嘉義縣,布袋鎮,,,,,,嘉義布袋,嘉義縣,布袋鎮
1999,嘉義縣新港鄉,6048,3538231,585.02496,嘉義縣,新港鄉,,,,,,嘉義新港,嘉義縣,新港鄉
1999,嘉義縣朴子市,7650,4843329,633.11493,嘉義縣,朴子市,,,,,,嘉義朴子,嘉義縣,朴子市
1999,嘉義市東區,26904,22538072,837.72198,嘉義市,東區,,,,,,嘉義東,嘉義市,東區
1999,嘉義縣東石鄉,4000,2023064,505.76599,嘉義縣,東石鄉,,,,,,嘉義東石,嘉義縣,東石鄉
1999,嘉義縣梅山鄉,2954,1705831,577.46478,嘉義縣,梅山鄉,,,,,,嘉義梅山,嘉義縣,梅山鄉
1999,嘉義縣民雄鄉,13096,8334170,636.3905,嘉義縣,民雄鄉,,,,,,嘉義民雄,嘉義縣,民雄鄉
1999,嘉義縣水上鄉,9648,5773630,598.42767,嘉義縣,水上鄉,,,,,,嘉義水上,嘉義縣,水上鄉
1999,嘉義縣溪口鄉,3300,1657356,502.2291,嘉義縣,溪口鄉,,,,,,嘉義溪口,嘉義縣,溪口鄉
1999,嘉義縣番路鄉,1643,935867,569.60864,嘉義縣,番路鄉,,,,,,嘉義番路,嘉義縣,番路鄉
1999,嘉義縣竹崎鄉,5847,3530627,603.83563,嘉義縣,竹崎鄉,,,,,,嘉義竹崎,嘉義縣,竹崎鄉
1999,嘉義縣義竹鄉,3811,2212592,580.58044,嘉義縣,義竹鄉,,,,,,嘉義義竹,嘉義縣,義竹鄉
1999,嘉義市西區,25822,18980984,735.07025,嘉義市,西區,,,,,,嘉義西,嘉義市,西區
1999,嘉義縣阿里山鄉,613,342089,558.05707,嘉義縣,阿里山鄉,,,,,,嘉義阿里山,嘉義縣,阿里山鄉
1999,嘉義縣鹿草鄉,2993,1743423,582.50018,嘉義縣,鹿草鄉,,,,,,嘉義鹿草,嘉義縣,鹿草鄉
1999,基隆市七堵區,15141,10369828,684.88397,基隆市,七堵區,,,,,,基隆七堵,基隆市,七堵區
1999,基隆市中山區,13652,8898624,651.81836,基隆市,中山區,,,,,,基隆中山,基隆市,中山區
1999,基隆市中正區,14786,9793404,662.34302,基隆市,中正區,,,,,,基隆中正,基隆市,中正區
1999,基隆市仁愛區,13522,9363617,692.47278,基隆市,仁愛區,,,,,,基隆仁愛,基隆市,仁愛區
1999,基隆市信義區,13319,10054543,754.90222,基隆市,信義區,,,,,,基隆信義,基隆市,信義區
1999,基隆市安樂區,21161,14981909,707.99628,基隆市,安樂區,,,,,,基隆安樂,基隆市,安樂區
1999,基隆市暖暖區,9527,6806638,714.45764,基隆市,暖暖區,,,,,,基隆暖暖,基隆市,暖暖區
1999,宜蘭縣三星鄉,4700,2574330,547.7298,宜蘭縣,三星鄉,,,,,,宜蘭三星,宜蘭縣,三星鄉
1999,宜蘭縣五結鄉,9245,5467091,591.35651,宜蘭縣,五結鄉,,,,,,宜蘭五結,宜蘭縣,五結鄉
1999,宜蘭縣冬山鄉,12225,7310354,597.98395,宜蘭縣,冬山鄉,,,,,,宜蘭冬山,宜蘭縣,冬山鄉
1999,宜蘭縣南澳鄉,935,469217,501.83636,宜蘭縣,南澳鄉,,,,,,宜蘭南澳,宜蘭縣,南澳鄉
1999,宜蘭縣員山鄉,6639,3693576,556.34521,宜蘭縣,員山鄉,,,,,,宜蘭員山,宜蘭縣,員山鄉
1999,宜蘭縣壯圍鄉,5178,2805317,541.77618,宜蘭縣,壯圍鄉,,,,,,宜蘭壯圍,宜蘭縣,壯圍鄉
1999,宜蘭縣大同鄉,656,323993,493.89175,宜蘭縣,大同鄉,,,,,,宜蘭大同,宜蘭縣,大同鄉
1999,宜蘭縣宜蘭市,19853,14200922,715.30359,宜蘭縣,宜蘭市,,,,,,宜蘭宜蘭,宜蘭縣,宜蘭市
1999,宜蘭縣礁溪鄉,8193,4653120,567.93848,宜蘭縣,礁溪鄉,,,,,,宜蘭礁溪,宜蘭縣,礁溪鄉
1999,宜蘭縣羅東鎮,15305,11003551,718.95142,宜蘭縣,羅東鎮,,,,,,宜蘭羅東,宜蘭縣,羅東鎮
1999,宜蘭縣蘇澳鎮,10189,6000584,588.92767,宜蘭縣,蘇澳鎮,,,,,,宜蘭蘇澳,宜蘭縣,蘇澳鎮
1999,宜蘭縣頭城鎮,6987,3812087,545.59711,宜蘭縣,頭城鎮,,,,,,宜蘭頭城,宜蘭縣,頭城鎮
1999,屏東縣三地門鄉,653,324963,497.64624,屏東縣,三地門鄉,,,,,,屏東三地門,屏東縣,三地門鄉
1999,屏東縣九如鄉,3176,1845549,581.09222,屏東縣,九如鄉,,,,,,屏東九如,屏東縣,九如鄉
1999,屏東縣佳冬鄉,3148,1795811,570.46094,屏東縣,佳冬鄉,,,,,,屏東佳冬,屏東縣,佳冬鄉
1999,屏東縣來義鄉,1613,578191,358.45691,屏東縣,來義鄉,,,,,,屏東來義,屏東縣,來義鄉
1999,屏東縣內埔鄉,9349,5880778,629.02747,屏東縣,內埔鄉,,,,,,屏東內埔,屏東縣,內埔鄉
1999,屏東縣南州鄉,2159,1388299,643.02869,屏東縣,南州鄉,,,,,,屏東南州,屏東縣,南州鄉
1999,屏東縣屏東市,37806,28460642,752.80756,屏東縣,屏東市,,,,,,屏東屏東,屏東縣,屏東市
1999,屏東縣崁頂鄉,2084,1241076,595.52594,屏東縣,崁頂鄉,,,,,,屏東崁頂,屏東縣,崁頂鄉
1999,屏東縣恆春鎮,4634,2595477,560.0943,屏東縣,恆春鎮,,,,,,屏東恆春,屏東縣,恆春鎮
1999,屏東縣新園鄉,5626,3368548,598.74652,屏東縣,新園鄉,,,,,,屏東新園,屏東縣,新園鄉
1999,屏東縣新埤鄉,2024,1037677,512.68628,屏東縣,新埤鄉,,,,,,屏東新埤,屏東縣,新埤鄉
1999,屏東縣春日鄉,574,230030,400.74911,屏東縣,春日鄉,,,,,,屏東春日,屏東縣,春日鄉
1999,屏東縣東港鎮,6591,4079401,618.93506,屏東縣,東港鎮,,,,,,屏東東港,屏東縣,東港鎮
1999,屏東縣枋寮鄉,4103,2270152,553.29077,屏東縣,枋寮鄉,,,,,,屏東枋寮,屏東縣,枋寮鄉
1999,屏東縣枋山鄉,712,372633,523.36096,屏東縣,枋山鄉,,,,,,屏東枋山,屏東縣,枋山鄉
1999,屏東縣林邊鄉,3029,1823446,601.99603,屏東縣,林邊鄉,,,,,,屏東林邊,屏東縣,林邊鄉
1999,屏東縣泰武鄉,584,260262,445.65411,屏東縣,泰武鄉,,,,,,屏東泰武,屏東縣,泰武鄉
1999,屏東縣滿州鄉,1102,574442,521.27222,屏東縣,滿州鄉,,,,,,屏東滿州,屏東縣,滿州鄉
1999,屏東縣潮州鎮,8766,6034955,688.45026,屏東縣,潮州鎮,,,,,,屏東潮州,屏東縣,潮州鎮
1999,屏東縣牡丹鄉,613,329981,538.30505,屏東縣,牡丹鄉,,,,,,屏東牡丹,屏東縣,牡丹鄉
1999,屏東縣獅子鄉,591,293829,497.17258,屏東縣,獅子鄉,,,,,,屏東獅子,屏東縣,獅子鄉
1999,屏東縣琉球鄉,1203,622028,517.06403,屏東縣,琉球鄉,,,,,,屏東琉球,屏東縣,琉球鄉
1999,屏東縣瑪家鄉,868,408780,470.9447,屏東縣,瑪家鄉,,,,,,屏東瑪家,屏東縣,瑪家鄉
1999,屏東縣竹田鄉,3225,1936188,600.36835,屏東縣,竹田鄉,,,,,,屏東竹田,屏東縣,竹田鄉
1999,屏東縣萬丹鄉,8084,4877707,603.37793,屏東縣,萬丹鄉,,,,,,屏東萬丹,屏東縣,萬丹鄉
1999,屏東縣萬巒鄉,3549,2027385,571.25531,屏東縣,萬巒鄉,,,,,,屏東萬巒,屏東縣,萬巒鄉
1999,屏東縣車城鄉,1488,751469,505.0195,屏東縣,車城鄉,,,,,,屏東車城,屏東縣,車城鄉
1999,屏東縣里港鄉,3751,2276524,606.91119,屏東縣,里港鄉,,,,,,屏東里港,屏東縣,里港鄉
1999,屏東縣長治鄉,4523,2908303,643.00311,屏東縣,長治鄉,,,,,,屏東長治,屏東縣,長治鄉
1999,屏東縣霧臺鄉,397,189485,477.29221,屏東縣,霚台鄉,,,,,,屏東霧臺,屏東縣,霧臺鄉
1999,屏東縣高樹鄉,3468,1926231,555.42993,屏東縣,高樹鄉,,,,,,屏東高樹,屏東縣,高樹鄉
1999,屏東縣鹽埔鄉,3302,1868139,565.75983,屏東縣,鹽埔鄉,,,,,,屏東鹽埔,屏東縣,鹽埔鄉
1999,屏東縣麟洛鄉,2148,1444343,672.41296,屏東縣,麟洛鄉,,,,,,屏東麟洛,屏東縣,麟洛鄉
1999,彰化縣二林鎮,9265,5603300,604.78143,彰化縣,二林鎮,,,,,,彰化二林,彰化縣,二林鎮
1999,彰化縣二水鄉,3821,2241324,586.58051,彰化縣,二水鄉,,,,,,彰化二水,彰化縣,二水鄉
1999,彰化縣伸港鄉,7249,3919394,540.68066,彰化縣,伸港鄉,,,,,,彰化伸港,彰化縣,伸港鄉
1999,彰化縣北斗鎮,6458,4058351,628.42224,彰化縣,北斗鎮,,,,,,彰化北斗,彰化縣,北斗鎮
1999,彰化縣和美鎮,20351,12160018,597.51453,彰化縣,和美鎮,,,,,,彰化和美,彰化縣,和美鎮
1999,彰化縣員林市,27010,19027940,704.4776,彰化縣,員林鎮,,,,,,彰化員林,彰化縣,員林市
1999,彰化縣埔心鄉,6931,3692190,532.70667,彰化縣,埔心鄉,,,,,,彰化埔心,彰化縣,埔心鄉
1999,彰化縣埔鹽鄉,7519,4079791,542.59753,彰化縣,埔鹽鄉,,,,,,彰化埔鹽,彰化縣,埔鹽鄉
